Season,TEAM,total_dvoa,pass_dvoa,rush_dvoa,non_adj_dvoa,non_adj_pass,non_adj_rush
2018,HOU,-0.071,0.088,-0.301,-0.114,0.027,-0.318
2018,CHI,-0.256,-0.245,-0.273,-0.258,-0.225,-0.311
2018,NO,-0.031,0.102,-0.249,-0.021,0.114,-0.239
2018,IND,-0.034,0.088,-0.188,-0.089,0.011,-0.214
2018,DAL,-0.035,0.074,-0.176,-0.042,0.069,-0.188
2018,BAL,-0.131,-0.106,-0.169,-0.102,-0.069,-0.153
2018,JAX,-0.095,-0.052,-0.143,-0.074,-0.028,-0.127
2018,PIT,-0.009,0.075,-0.131,0.024,0.113,-0.106
2018,PHI,0.0,0.067,-0.123,0.016,0.067,-0.076
2018,LAC,-0.047,0.012,-0.1,-0.052,-0.021,-0.089
2018,SF,0.056,0.196,-0.111,0.094,0.237,-0.077
2018,MIN,-0.103,-0.097,-0.1,-0.108,-0.105,-0.111
2018,DET,0.1,0.247,-0.106,0.072,0.189,-0.074
2018,BUF,-0.145,-0.184,-0.102,-0.125,-0.2,-0.086
2018,TEN,0.006,0.094,-0.094,-0.017,0.056,-0.098
2018,DEN,-0.097,-0.106,-0.086,-0.076,-0.059,-0.099
2018,SEA,-0.002,0.1,-0.077,-0.018,0.034,-0.094
2018,NE,0.004,0.051,-0.1,-0.024,0.004,-0.1
2018,CAR,0.054,0.148,-0.1,0.063,0.166,-0.071
2018,NYG,0.058,0.159,-0.1,0.039,0.133,-0.1
2018,NYJ,0.033,0.088,-0.039,0.025,0.075,-0.042
2018,OAK,0.123,0.283,-0.033,0.162,0.321,0.007
2018,GB,0.101,0.201,-0.0,0.101,0.214,-0.038
2018,MIA,0.065,0.144,-0.016,0.049,0.131,-0.034
2018,CLE,-0.025,-0.035,-0.011,-0.021,-0.028,-0.013
2018,CIN,0.1,0.157,0.0,0.122,0.206,0.021
2018,WAS,0.017,0.0,0.012,0.007,0.004,0.0
2018,LAR,0.008,0.002,0.015,-0.027,-0.027,-0.028
2018,ARI,0.005,-0.009,0.018,0.031,0.033,0.029
2018,ATL,0.132,0.217,0.024,0.137,0.176,0.086
2018,TB,0.148,0.242,0.0,0.177,0.277,0.052
2018,KC,0.068,0.047,0.097,0.061,0.055,0.069
2017,JAC,-0.2,-0.3,-0.0,-0.2,-0.3,-0.0
2017,MIN,-0.1,-0.1,-0.2,-0.1,-0.1,-0.2
2017,BAL,-0.1,-0.2,-0.1,-0.2,-0.2,-0.1
2017,ARI,-0.1,-0.0,-0.2,-0.1,0.0,-0.2
2017,PHI,-0.1,-0.1,-0.2,-0.1,-0.1,-0.2
2017,LARM,-0.1,-0.1,-0.0,-0.1,-0.1,-0.1
2017,CAR,-0.1,-0.0,-0.2,-0.1,0.0,-0.2
2017,NO,-0.1,-0.1,-0.0,-0.0,-0.0,-0.0
2017,PIT,-0.1,-0.1,-0.1,-0.1,-0.1,-0.0
2017,DEN,-0.1,0.1,-0.2,-0.1,0.1,-0.2
2017,WAS,-0.0,-0.1,0.0,-0.0,-0.0,0.0
2017,LACH,-0.0,-0.1,-0.0,-0.1,-0.1,-0.1
2017,SEA,-0.0,0.0,-0.1,-0.1,-0.0,-0.1
2017,CHI,-0.0,0.0,-0.1,-0.0,0.1,-0.1
2017,BUF,0.0,0.0,0.0,0.0,0.0,0.1
2017,CLE,0.0,0.2,-0.2,0.0,0.2,-0.2
